feature,MI
euribor3m,0.07468977002288835
cons.price.idx,0.06865561316018298
cons.conf.idx,0.06632919816352434
nr.employed,0.061133480154232256
emp.var.rate,0.05458190920736916
was_contacted,0.03102983016633698
poutcome_success,0.03093218172251544
previous,0.02059029433633852
poutcome_nonexistent,0.017108928648906563
age,0.012583650331759122
contact_telephone,0.011336303479508647
default_unknown,0.008064841684906954
month_sep,0.006770219211244655
job_student,0.006588274812502348
month_oct,0.006076363548154662
month_may,0.006001763318568054
month_mar,0.00554717534378657
campaign,0.004683688302030253
job_retired,0.003906760053762337
marital_married,0.0038298355624528657
month_dec,0.0036865561535823765
job_blue-collar,0.0036498177603143667
day_of_week_tue,0.0035648529997938105
marital_single,0.0035390746215682167
education_university.degree,0.0030588308319858815
job_entrepreneur,0.0020977662876275893
education_professional.course,0.0018613252176937767
education_basic.9y,0.0018293518690575272
job_services,0.0016681256216541929
housing_yes,0.0015094297639015597
month_aug,0.0013714990597926136
education_illiterate,0.0010073582026532968
loan_yes,0.00098023555118254
education_unknown,0.0009374348301929292
education_basic.6y,0.0007131192388458718
job_housemaid,0.0006129525282607684
default_yes,0.00042967344370348215
loan_unknown,0.0004206375484330227
job_unemployed,0.00036975409233219736
day_of_week_wed,7.142671170679016e-05
job_unknown,0.0
job_technician,0.0
job_self-employed,0.0
job_management,0.0
housing_unknown,0.0
education_high.school,0.0
marital_unknown,0.0
month_jul,0.0
month_nov,0.0
month_jun,0.0
day_of_week_thu,0.0
day_of_week_mon,0.0
